City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Layton,Utah,29.5,37748,36394,74142,3811,4268,3.24,UT,Hispanic or Latino,10123
Sacramento,California,33.7,237724,252991,490715,19698,112579,2.73,CA,Black or African-American,77439
Birmingham,Alabama,35.6,102122,112789,214911,13212,8258,2.21,AL,Asian,1500
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,Asian,16074
Dayton,Ohio,32.8,66631,73966,140597,8465,7381,2.26,OH,American Indian and Alaska Native,2010
Mountain View,California,33.5,42493,37945,80438,1376,31857,2.46,CA,Hispanic or Latino,16397
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,Hispanic or Latino,62100
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,Black or African-American,7219
Yuma,Arizona,33.4,48298,45847,94145,7182,19326,2.64,AZ,Black or African-American,3731
Garland,Texas,34.5,116406,120430,236836,10407,62975,3.12,TX,White,154484
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,White,43004
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,Black or African-American,38731
San Tan Valley,Arizona,31.3,40429,42368,82797,4300,5757,3.44,AZ,American Indian and Alaska Native,3941
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,Black or African-American,8304
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,Black or African-American,67798
Victoria,Texas,35.8,32290,35291,67581,5000,4480,2.7,TX,Hispanic or Latino,34409
Milpitas,California,36.8,40098,37519,77617,1608,39436,3.32,CA,Hispanic or Latino,11815
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,Asian,1785
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,White,63666
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,Hispanic or Latino,113731
Eau Claire,Wisconsin,32,32327,35106,67433,3261,2833,2.4,WI,Hispanic or Latino,1488
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,White,68293
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,American Indian and Alaska Native,5305
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,White,150568
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,Hispanic or Latino,3896
Fremont,California,38.3,114383,117808,232191,4629,109427,3.12,CA,White,67294
Loveland,Colorado,37.6,37042,38146,75188,5667,3050,2.53,CO,Hispanic or Latino,13567
Orem,Utah,26.1,48695,45762,94457,2828,12808,3.26,UT,Black or African-American,1837
Hemet,California,36.8,38622,45251,83873,5613,13330,2.97,CA,Hispanic or Latino,37448
Bloomington,Minnesota,40.9,43318,43118,86436,6176,10728,2.3,MN,White,71874
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,American Indian and Alaska Native,1818
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,Black or African-American,1192
Springfield,Illinois,38.8,55639,62170,117809,7525,4264,2.22,IL,Black or African-American,25327
Provo,Utah,23.6,56231,59027,115258,2177,10925,3.28,UT,Asian,4104
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,American Indian and Alaska Native,1675
Town 'n' Country,Florida,38.1,39410,39586,78996,4534,22135,2.61,FL,Hispanic or Latino,37944
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,Asian,24673
Mesquite,Texas,34.6,69240,75884,145124,6438,26755,2.96,TX,Hispanic or Latino,56753
Rochester Hills,Michigan,41.2,36356,37076,73432,3053,13708,2.66,MI,American Indian and Alaska Native,348
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,Black or African-American,30075
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,White,138506
Columbus,Ohio,32.5,413981,435086,849067,40238,101129,2.4,OH,Black or African-American,256764
Oakland,California,35.7,203827,215451,419278,12159,113896,2.56,CA,American Indian and Alaska Native,8380
Buffalo,New York,33.1,124537,133529,258066,11231,24630,2.27,NY,Hispanic or Latino,29656
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,Hispanic or Latino,21315
Elgin,Illinois,35.7,54852,56224,111076,4024,30167,2.97,IL,Hispanic or Latino,48221
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,Black or African-American,3229
Concord,North Carolina,35.7,42732,44961,87693,4621,8847,2.72,NC,Asian,3566
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,Hispanic or Latino,6617
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,White,85853
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,Hispanic or Latino,7564
Johnson City,Tennessee,38.2,31019,34350,65369,5038,2878,2.18,TN,Black or African-American,6016
Roseville,California,38.4,62591,67691,130282,8386,18161,2.72,CA,American Indian and Alaska Native,2635
Jonesboro,Arkansas,32.6,35666,38240,73906,3682,3222,2.44,AR,Black or African-American,14599
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,White,86328
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Asian,10336
Lawrence,Massachusetts,30.8,37464,42776,80240,1190,29170,3.17,MA,Black or African-American,9221
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,American Indian and Alaska Native,1119
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,White,257552
Laredo,Texas,28.8,124305,131484,255789,4921,68427,3.66,TX,White,246442
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,White,73022
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,American Indian and Alaska Native,687
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,Hispanic or Latino,20483
Berkeley,California,32.5,60142,60829,120971,3736,25000,2.35,CA,Hispanic or Latino,15429
Grand Prairie,Texas,33.1,90811,96944,187755,7073,44888,3.18,TX,Black or African-American,54934
Champaign,Illinois,28.7,43326,42760,86086,3734,12261,2.25,IL,White,58099
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,Hispanic or Latino,327680
Santa Maria,California,30.1,53320,51762,105082,2876,39192,3.83,CA,Asian,5058
Lakewood,California,39.9,41523,40069,81592,4094,18274,3.13,CA,Black or African-American,6123
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,American Indian and Alaska Native,4856
Menifee,California,37.1,42866,44297,87163,6821,12481,3.06,CA,White,62331
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,Asian,4079
Rock Hill,South Carolina,34.5,33324,38243,71567,4755,2413,2.29,SC,Asian,1073
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,White,44555
Henderson,Nevada,42.5,139412,146246,285658,25045,35666,2.55,NV,Hispanic or Latino,47154
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,Asian,7966
Vallejo,California,37.8,58379,62890,121269,8103,30592,2.83,CA,White,56169
Ellicott City,Maryland,42.4,34406,36526,70932,3856,17587,2.73,MD,Hispanic or Latino,1602
Sioux Falls,South Dakota,34.6,86596,84934,171530,8658,12934,2.38,SD,Black or African-American,10904
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,Black or African-American,43356
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,American Indian and Alaska Native,893
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,Asian,2729
Cary,North Carolina,39.9,78932,81582,160514,7426,30008,2.61,NC,Asian,25124
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,Black or African-American,1239
San Jose,California,36.5,518317,508602,1026919,27269,401493,3.13,CA,Asian,385198
Carmel,Indiana,39.9,42928,46101,89029,2723,9645,2.71,IN,Asian,11223
Troy,Michigan,43.3,42371,40905,83276,2975,21004,2.59,MI,Black or African-American,5294
Greeley,Colorado,31,50792,50091,100883,4294,11480,2.75,CO,Asian,2202
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,White,100150
Chula Vista,California,34.6,131485,134269,265754,12368,82710,3.32,CA,American Indian and Alaska Native,1652
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,Hispanic or Latino,4146
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,American Indian and Alaska Native,3102
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,Hispanic or Latino,1709
Salt Lake City,Utah,32.1,98364,94296,192660,6829,32166,2.38,UT,American Indian and Alaska Native,3488
Orange,California,35,67337,73658,140995,3993,34550,3.14,CA,Asian,22457
Centennial,Colorado,42.4,53222,56504,109726,7226,9501,2.66,CO,Hispanic or Latino,8086
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,White,71391
Miami Beach,Florida,42.5,48090,44221,92311,2265,49908,2.1,FL,Black or African-American,4013
San Jose,California,36.5,518317,508602,1026919,27269,401493,3.13,CA,Hispanic or Latino,331232
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,Black or African-American,2954
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,Black or African-American,5508
Topeka,Kansas,37.1,60879,66378,127257,9608,6711,2.32,KS,Black or African-American,15030
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,White,147624
Grand Rapids,Michigan,32.1,95669,99430,195099,8972,19176,2.56,MI,White,143702
North Las Vegas,Nevada,32.2,116350,118443,234793,17256,49815,3.31,NV,American Indian and Alaska Native,4739
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,Black or African-American,22699
South San Francisco,California,39.4,34177,33094,67271,1839,27528,3.33,CA,White,28135
Sandy Springs,Georgia,35.4,48570,56777,105347,3015,19837,2.4,GA,Black or African-American,15420
Town 'n' Country,Florida,38.1,39410,39586,78996,4534,22135,2.61,FL,Black or African-American,9575
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,Asian,1409
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,Asian,9807
Provo,Utah,23.6,56231,59027,115258,2177,10925,3.28,UT,American Indian and Alaska Native,1916
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,Hispanic or Latino,15180
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,American Indian and Alaska Native,1133
Melbourne,Florida,43.4,39180,40956,80136,8363,9685,2.37,FL,American Indian and Alaska Native,251
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,Asian,9273
Warwick,Rhode Island,42.6,39289,42409,81698,5799,5318,2.4,RI,Asian,2685
Springfield,Illinois,38.8,55639,62170,117809,7525,4264,2.22,IL,Asian,3871
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,Hispanic or Latino,6832
Boise,Idaho,34.9,110099,108181,218280,16004,13409,2.61,ID,Hispanic or Latino,19480
Springfield,Missouri,34.1,81057,85741,166798,12291,7765,2.12,MO,American Indian and Alaska Native,2777
Henderson,Nevada,42.5,139412,146246,285658,25045,35666,2.55,NV,American Indian and Alaska Native,3036
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,White,71463
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,Asian,5500
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,Black or African-American,12369
The Woodlands,Texas,38.8,56083,63061,119144,8351,21188,2.93,TX,American Indian and Alaska Native,2427
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,American Indian and Alaska Native,2716
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,Hispanic or Latino,38674
Carolina,Puerto Rico,42,64758,77308,142066,,,,PR,Hispanic or Latino,139967
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,Hispanic or Latino,46621
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,Hispanic or Latino,25573
Shreveport,Louisiana,35.2,93138,103856,196994,14287,5658,2.53,LA,American Indian and Alaska Native,1647
Lake Charles,Louisiana,31.8,35678,40388,76066,4477,3215,2.36,LA,White,36346
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,White,107639
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,Hispanic or Latino,116211
Lawton,Oklahoma,31.1,51099,45560,96659,11572,6123,2.72,OK,White,63948
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,Hispanic or Latino,35164
South San Francisco,California,39.4,34177,33094,67271,1839,27528,3.33,CA,Black or African-American,2327
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,Black or African-American,46072
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,Asian,15814
Centennial,Colorado,42.4,53222,56504,109726,7226,9501,2.66,CO,Asian,7041
Buena Park,California,35.7,41593,41671,83264,3116,28430,3.55,CA,Hispanic or Latino,32915
Livonia,Michigan,47.4,45369,49264,94633,5397,7175,2.52,MI,Hispanic or Latino,1772
Springfield,Missouri,34.1,81057,85741,166798,12291,7765,2.12,MO,Asian,5725
Houston,Texas,32.6,1149686,1148942,2298628,71898,696210,2.66,TX,Asian,173854
Silver Spring,Maryland,33.8,40601,41862,82463,1562,30908,2.6,MD,White,37756
Lake Charles,Louisiana,31.8,35678,40388,76066,4477,3215,2.36,LA,Black or African-American,38358
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,Black or African-American,132939
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,White,139669
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,American Indian and Alaska Native,1603
Kennewick,Washington,32,38492,40411,78903,5158,8376,2.78,WA,White,65228
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,Hispanic or Latino,31672
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,Hispanic or Latino,33222
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,American Indian and Alaska Native,1179
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,Black or African-American,2985
Saint Louis,Missouri,35,153026,162659,315685,17060,21802,2.16,MO,Hispanic or Latino,12261
Pompano Beach,Florida,42.5,56569,51202,107771,5145,32733,2.55,FL,White,67360
Homestead,Florida,31.4,31401,35099,66500,2287,24408,3.48,FL,Black or African-American,16705
Louisville/Jefferson County metro government,Kentucky,37.5,298451,316938,615389,39364,37875,2.45,KY,American Indian and Alaska Native,4585
Santa Maria,California,30.1,53320,51762,105082,2876,39192,3.83,CA,Black or African-American,1237
Chino,California,36.5,50989,34610,85599,4186,18666,3.62,CA,American Indian and Alaska Native,4790
Marysville,Washington,33.2,33436,33337,66773,5714,7721,2.79,WA,American Indian and Alaska Native,3260
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,Hispanic or Latino,43563
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,American Indian and Alaska Native,1682
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,American Indian and Alaska Native,835
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,Asian,18797
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,Asian,4103
Sioux City,Iowa,34.3,38827,43949,82776,4093,7471,2.57,IA,White,70513
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,American Indian and Alaska Native,41748
Fort Myers,Florida,37.3,36850,37165,74015,4312,15365,2.45,FL,Black or African-American,17298
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,American Indian and Alaska Native,219
Longview,Texas,36.8,40065,41525,81590,5512,8782,2.55,TX,Asian,1810
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,Asian,13596
Layton,Utah,29.5,37748,36394,74142,3811,4268,3.24,UT,American Indian and Alaska Native,1674
Guaynabo,Puerto Rico,42.2,33066,37426,70492,,,,PR,Hispanic or Latino,69936
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,Asian,13432
Cheektowaga,New York,40.7,37476,38599,76075,5408,3532,2.3,NY,Asian,1584
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,Hispanic or Latino,32938
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,Asian,1939
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,White,107148
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,American Indian and Alaska Native,1262
Vallejo,California,37.8,58379,62890,121269,8103,30592,2.83,CA,Asian,34753
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,Hispanic or Latino,42472
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,Hispanic or Latino,23317
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,Black or African-American,3891
Pawtucket,Rhode Island,39.2,36072,35511,71583,3173,17884,2.41,RI,Asian,2150
Brandon,Florida,36.1,55679,58289,113968,9417,16390,2.64,FL,Asian,9440
Montgomery,Alabama,35.4,94582,106004,200586,14955,9337,2.41,AL,American Indian and Alaska Native,1277
Visalia,California,32.6,63695,66399,130094,5547,20779,3.11,CA,Black or African-American,2525
Tempe,Arizona,28.8,91350,84476,175826,7058,26620,2.44,AZ,Asian,17338
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,Hispanic or Latino,6596
Bay,Texas,32.9,37977,37508,75485,3478,13192,2.59,TX,American Indian and Alaska Native,2167
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,Hispanic or Latino,53174
New Britain,Connecticut,33.4,37350,35459,72809,2219,15080,2.52,CT,Asian,2297
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,Hispanic or Latino,17769
Edinburg,Texas,29.3,39422,45079,84501,2409,16569,3.31,TX,White,77560
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,American Indian and Alaska Native,1076
New Bedford,Massachusetts,38.6,43793,51166,94959,4185,19024,2.39,MA,Black or African-American,8890
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,Asian,1891
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,Black or African-American,2734
Everett,Washington,37,56212,51800,108012,7880,19499,2.36,WA,Hispanic or Latino,15889
Saint Paul,Minnesota,31.5,149547,151293,300840,10548,56514,2.58,MN,Hispanic or Latino,27307
Cary,North Carolina,39.9,78932,81582,160514,7426,30008,2.61,NC,Black or African-American,15496
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,Asian,1853
Mount Vernon,New York,38.5,31876,36745,68621,2064,23777,2.85,NY,Asian,1497
Little Rock,Arkansas,36.6,96997,100989,197986,12343,16640,2.36,AR,American Indian and Alaska Native,961
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,American Indian and Alaska Native,474
Irvine,California,34.6,125411,131516,256927,5532,116366,2.73,CA,American Indian and Alaska Native,799
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,White,47454
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,White,202961
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,Hispanic or Latino,16186
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,Asian,6547
